tahun,jumlah_mobil,jumlah_motor,pertambahan_mobil_per tahun,pertambahan_mobil_per hari,pertambahan_motor_per tahun,pertambahan_motor_per hari
2008.0,2882202.0,6765723.0,128410.0,351.0,791550.0,2168.0
2009.0,2976591.0,7518098.0,94389.0,258.0,752375.0,2061.0
2010.0,3233389.0,8764130.0,256798.0,703.0,1246032.0,3413.0
2011.0,3486351.0,9861451.0,252962.0,693.0,1097321.0,3006.0
2012.0,3732773.0,1.0727273E7,246422.0,675.0,865822.0,2372.0
2013.0,4123589.0,1.194928E7,390816.0,1070.0,1222007.0,3347.0
2014.0,1224053.0,6396997.0,-2899536.0,-7943.0,-5552283.0,-15211.0
